Step,Time,L1_V,L2_V,Off1,Off2,Drift_En,Lim_En
1200,12,0.1,0.637752,255,128,1,1
1210,12.1,0.1,0.634752,255,128,1,1
1220,12.2,0.1,0.671752,255,128,1,1
1230,12.3,0.1,0.638252,255,128,1,1
1240,12.4,0.1,0.625752,255,128,1,1
1250,12.5,0.1,0.666252,255,129,1,1
1260,12.6,0.1,0.647975,255,129,1,1
1270,12.7,0.1,0.671475,255,129,1,1
1280,12.8,0.1,0.654475,255,129,1,1
1290,12.9,0.1,0.635975,255,128,1,1
1300,13,0.1,0.649252,255,128,1,1
1310,13.1,0.1,0.650252,255,128,1,1
1320,13.2,0.1,0.663252,255,128,1,1
1330,13.3,0.1,0.624252,255,128,1,1
1340,13.4,0.1,0.624252,255,128,1,1
1350,13.5,0.1,0.641252,255,128,1,1
1360,13.6,0.1,0.632752,255,128,1,1
1370,13.7,0.1,0.631752,255,128,1,1
1380,13.8,0.1,0.650252,255,128,1,1
1390,13.9,0.1,0.642252,255,128,1,1
1400,14,0.1,0.671752,255,128,1,1
1410,14.1,0.1,0.658252,255,128,1,1
1420,14.2,0.1,0.666752,255,129,1,1
1430,14.3,0.1,0.663252,255,129,1,1
1440,14.4,0.1,0.655975,255,129,1,1
1450,14.5,0.1,0.651975,255,129,1,1
1460,14.6,0.1,0.668475,255,129,1,1
1470,14.7,0.1,0.650475,255,128,1,1
1480,14.8,0.1,0.672752,255,128,1,1
1490,14.9,0.1,0.663252,255,128,1,1
