Step,Time,L1_V,L2_V,Off1,Off2,Drift_En,Lim_En
1180,11.8,0.449696,0.65632,122,143,0,0
1190,11.9,0.449196,0.63632,122,143,0,0
1200,12,0.434196,0.63732,122,143,0,0
1210,12.1,0.475196,0.63682,122,143,0,0
1220,12.2,0.458196,0.65982,122,143,0,0
1230,12.3,0.466696,0.66732,122,143,0,0
1240,12.4,0.438196,0.63882,122,143,0,0
1250,12.5,0.430696,0.62782,122,143,0,0
1260,12.6,0.446196,0.62982,122,143,0,0
1270,12.7,0.468196,0.67432,122,143,0,0
1280,12.8,0.435696,0.65982,122,143,0,0
1290,12.9,0.462696,0.62732,122,143,0,0
1300,13,0.435696,0.64682,122,143,0,0
1310,13.1,0.430196,0.64332,122,143,0,0
1320,13.2,0.440696,0.66282,122,143,0,0
1330,13.3,0.446696,0.67332,122,143,0,0
1340,13.4,0.429196,0.66282,122,143,0,0
1350,13.5,0.443196,0.64982,122,143,0,0
1360,13.6,0.467196,0.64832,122,143,0,0
1370,13.7,0.468196,0.64132,122,143,0,0
1380,13.8,0.440696,0.63882,122,143,0,0
1390,13.9,0.464696,0.62532,122,143,0,0
1400,14,0.451696,0.64282,122,143,0,0
1410,14.1,0.445196,0.66132,122,143,0,0
1420,14.2,0.470196,0.64382,122,143,0,0
1430,14.3,0.445696,0.67482,122,143,0,0
1440,14.4,0.467696,0.62782,122,143,0,0
1450,14.5,0.443196,0.62732,122,143,0,0
1460,14.6,0.445696,0.65932,122,143,0,0
1470,14.7,0.447196,0.63682,122,143,0,0
1480,14.8,0.427696,0.63882,122,143,0,0
1490,14.9,0.427196,0.63632,122,143,0,0
