Step,Time,L1_V,L2_V,Off1,Off2,Drift_En,Lim_En
1300,13,0.112312,0.666679,255,150,1,1
1310,13.1,0.117312,0.666679,255,150,1,1
1320,13.2,0.112812,0.634179,255,150,1,1
1330,13.3,0.0933124,0.643179,255,150,1,1
1340,13.4,0.114312,0.679179,255,150,1,1
1350,13.5,0.0918124,0.636179,255,150,1,1
1360,13.6,0.101812,0.629679,255,150,1,1
1370,13.7,0.0973124,0.645179,255,150,1,1
1380,13.8,0.133812,0.644179,255,150,1,1
1390,13.9,0.0933124,0.673679,255,150,1,1
1400,14,0.128812,0.646179,255,150,1,1
1410,14.1,0.124312,0.646679,255,150,1,1
1420,14.2,0.137812,0.676179,255,150,1,1
1430,14.3,0.124812,0.644179,255,150,1,1
1440,14.4,0.122812,0.641679,255,150,1,1
1450,14.5,0.107812,0.655179,255,150,1,1
1460,14.6,0.126812,0.647179,255,150,1,1
1470,14.7,0.108812,0.655179,255,150,1,1
1480,14.8,0.131312,0.643179,255,150,1,1
1490,14.9,0.122812,0.665179,255,150,1,1
1500,15,0.137812,0.630679,255,149,1,1
1510,15.1,0.110189,0.623391,255,149,1,1
1520,15.2,0.117189,0.630391,255,150,1,1
1530,15.3,0.107689,0.631391,255,150,1,1
1540,15.4,0.131812,0.637179,255,150,1,1
1550,15.5,0.101812,0.660179,255,150,1,1
1560,15.6,0.120812,0.661179,255,150,1,1
1570,15.7,0.103812,0.645179,255,149,1,1
1580,15.8,0.135189,0.645891,255,149,1,1
1590,15.9,0.127189,0.621391,255,149,1,1
1600,16,0.132189,0.666891,255,150,1,1
1610,16.1,0.114812,0.675679,255,150,1,1
1620,16.2,0.121312,0.640179,255,150,1,1
1630,16.3,0.114312,0.632179,255,150,1,1
1640,16.4,0.100312,0.662679,255,150,1,1
1650,16.5,0.139312,0.637179,255,150,1,1
1660,16.6,0.115812,0.643179,255,150,1,1
1670,16.7,0.135312,0.674179,255,149,1,1
1680,16.8,0.121312,0.651679,255,149,1,1
1690,16.9,0.136689,0.652891,255,149,1,1
1700,17,0.105189,0.624891,255,149,1,1
1710,17.1,0.127689,0.642391,255,149,1,1
1720,17.2,0.140189,0.651891,255,149,1,1
1730,17.3,0.101689,0.660891,255,149,1,1
1740,17.4,0.121689,0.657391,255,149,1,1
1750,17.5,0.112189,0.640391,255,149,1,1
1760,17.6,0.138689,0.641891,255,150,1,1
1770,17.7,0.0996894,0.653891,255,150,1,1
1780,17.8,0.101812,0.633679,255,150,1,1
1790,17.9,0.128312,0.678179,255,150,1,1
1800,18,0.111312,0.670679,255,150,1,1
1810,18.1,0.105312,0.663179,255,149,1,1
1820,18.2,0.128689,0.626391,255,149,1,1
1830,18.3,0.140689,0.631391,255,149,1,1
1840,18.4,0.126689,0.666391,255,150,1,1
1850,18.5,0.117812,0.640179,255,150,1,1
1860,18.6,0.106312,0.665679,255,150,1,1
1870,18.7,0.134312,0.662179,255,150,1,1
1880,18.8,0.137312,0.665679,255,149,1,1
1890,18.9,0.127689,0.658891,255,149,1,1
1900,19,0.0926894,0.663891,255,149,1,1
1910,19.1,0.127189,0.660391,255,149,1,1
1920,19.2,0.104189,0.632391,255,149,1,1
1930,19.3,0.0971894,0.637391,255,149,1,1
1940,19.4,0.120689,0.656891,255,149,1,1
1950,19.5,0.137689,0.661891,255,149,1,1
1960,19.6,0.125689,0.645891,255,150,1,1
1970,19.7,0.124189,0.647891,255,150,1,1
1980,19.8,0.117312,0.634179,255,150,1,1
1990,19.9,0.0938124,0.631679,255,150,1,1
