Step,Time,L1_V,L2_V,Off1,Off2,Drift_En,Lim_En
1310,13.1,0.213894,0.646851,255,141,1,1
1320,13.2,0.209894,0.645351,255,141,1,1
1330,13.3,0.241394,0.644851,255,141,1,1
1340,13.4,0.243394,0.635851,255,141,1,1
1350,13.5,0.207894,0.645351,255,141,1,1
1360,13.6,0.224394,0.639351,255,141,1,1
1370,13.7,0.232394,0.661351,255,141,1,1
1380,13.8,0.210894,0.651851,255,141,1,1
1390,13.9,0.225894,0.652851,255,141,1,1
1400,14,0.213394,0.626851,255,141,1,1
1410,14.1,0.209894,0.661351,255,141,1,1
1420,14.2,0.198894,0.673851,255,141,1,1
1430,14.3,0.200394,0.653851,255,141,1,1
1440,14.4,0.218894,0.626851,255,141,1,1
1450,14.5,0.232394,0.639851,255,140,1,1
1460,14.6,0.236894,0.662431,255,140,1,1
1470,14.7,0.233894,0.649931,255,140,1,1
1480,14.8,0.214394,0.627851,255,141,1,1
1490,14.9,0.202394,0.644851,255,141,1,1
1500,15,0.206894,0.669351,255,141,1,1
1510,15.1,0.206394,0.639851,255,141,1,1
1520,15.2,0.217394,0.673351,255,141,1,1
1530,15.3,0.208394,0.673351,255,141,1,1
1540,15.4,0.242394,0.662851,255,141,1,1
1550,15.5,0.217894,0.642851,255,141,1,1
1560,15.6,0.223894,0.670851,255,141,1,1
1570,15.7,0.241394,0.658351,255,141,1,1
1580,15.8,0.209894,0.667351,255,141,1,1
1590,15.9,0.238394,0.638851,255,141,1,1
1600,16,0.227894,0.670851,255,141,1,1
1610,16.1,0.209394,0.667351,255,140,1,1
1620,16.2,0.212894,0.643431,255,140,1,1
1630,16.3,0.232394,0.640931,255,140,1,1
1640,16.4,0.241894,0.670851,255,141,1,1
1650,16.5,0.209394,0.670351,255,141,1,1
1660,16.6,0.226394,0.636851,255,140,1,1
1670,16.7,0.245894,0.654931,255,140,1,1
1680,16.8,0.242894,0.635931,255,141,1,1
1690,16.9,0.218894,0.645351,255,141,1,1
1700,17,0.209894,0.671351,255,141,1,1
1710,17.1,0.232894,0.661851,255,141,1,1
1720,17.2,0.216394,0.635351,255,141,1,1
1730,17.3,0.223394,0.648351,255,141,1,1
1740,17.4,0.202394,0.658851,255,141,1,1
1750,17.5,0.223394,0.666851,255,141,1,1
1760,17.6,0.216394,0.659351,255,141,1,1
1770,17.7,0.218894,0.646851,255,141,1,1
1780,17.8,0.230894,0.643351,255,141,1,1
1790,17.9,0.232394,0.635351,255,141,1,1
1800,18,0.201394,0.644351,255,141,1,1
1810,18.1,0.232894,0.645351,255,141,1,1
1820,18.2,0.238394,0.674851,255,141,1,1
1830,18.3,0.226894,0.654851,255,141,1,1
1840,18.4,0.196394,0.635851,255,141,1,1
1850,18.5,0.196394,0.674851,255,141,1,1
1860,18.6,0.203894,0.639351,255,141,1,1
1870,18.7,0.230394,0.641351,255,141,1,1
1880,18.8,0.213394,0.663351,255,141,1,1
1890,18.9,0.241394,0.646351,255,141,1,1
1900,19,0.209394,0.671851,255,141,1,1
1910,19.1,0.238894,0.659851,255,141,1,1
1920,19.2,0.220894,0.628851,255,141,1,1
1930,19.3,0.220894,0.650851,255,141,1,1
1940,19.4,0.213894,0.659351,255,141,1,1
1950,19.5,0.227894,0.641351,255,141,1,1
1960,19.6,0.224894,0.639351,255,141,1,1
1970,19.7,0.209894,0.645851,255,141,1,1
1980,19.8,0.198894,0.654351,255,141,1,1
1990,19.9,0.202894,0.656851,255,141,1,1
