Step,Time,L1_V,L2_V,Off1,Off2,Drift_En,Lim_En
1160,11.6,0.453196,0.67282,122,143,0,0
1170,11.7,0.470696,0.65482,122,143,0,0
1180,11.8,0.445696,0.66932,121,143,0,0
1190,11.9,0.460696,0.65682,121,143,0,0
1200,12,0.460196,0.62782,122,143,0,0
1210,12.1,0.454503,0.634287,121,143,0,0
1220,12.2,0.439503,0.672287,122,143,0,0
1230,12.3,0.451696,0.63932,122,143,0,0
1240,12.4,0.456003,0.656787,122,143,0,0
1250,12.5,0.472196,0.64932,122,143,0,0
1260,12.6,0.472196,0.64032,122,143,0,0
1270,12.7,0.444696,0.67432,122,143,0,0
1280,12.8,0.432696,0.64482,122,143,0,0
1290,12.9,0.457196,0.62882,122,143,0,0
1300,13,0.446696,0.63582,122,143,0,0
1310,13.1,0.428196,0.65782,122,143,0,0
1320,13.2,0.475196,0.65732,122,143,0,0
1330,13.3,0.470196,0.62882,122,143,0,0
1340,13.4,0.430696,0.66432,122,143,0,0
1350,13.5,0.472196,0.63932,122,143,0,0
1360,13.6,0.462196,0.64282,122,143,0,0
1370,13.7,0.432196,0.63532,122,143,0,0
1380,13.8,0.469196,0.65732,122,143,0,0
1390,13.9,0.443696,0.64182,122,143,0,0
1400,14,0.471696,0.66432,122,143,0,0
1410,14.1,0.426196,0.63282,122,143,0,0
1420,14.2,0.453696,0.66832,122,143,0,0
1430,14.3,0.471696,0.63232,122,143,0,0
1440,14.4,0.441696,0.64882,122,143,0,0
1450,14.5,0.464696,0.67132,122,143,0,0
1460,14.6,0.464196,0.63182,122,143,0,0
1470,14.7,0.448196,0.64682,121,143,0,0
1480,14.8,0.461696,0.63732,121,143,0,0
1490,14.9,0.462196,0.65132,121,143,0,0
1500,15,0.418503,0.636787,121,143,0,0
1510,15.1,0.460003,0.657287,121,143,0,0
1520,15.2,0.452003,0.636787,122,143,0,0
1530,15.3,0.416503,0.668787,122,143,0,0
1540,15.4,0.464003,0.636287,122,143,0,0
1550,15.5,0.469196,0.67432,122,144,0,0
1560,15.6,0.474696,0.66582,122,144,0,0
1570,15.7,0.430196,0.66182,122,144,0,0
1580,15.8,0.443696,0.66582,122,143,0,0
1590,15.9,0.455443,0.644995,122,143,0,0
1600,16,0.455443,0.656995,122,143,0,0
1610,16.1,0.434196,0.65682,122,143,0,0
1620,16.2,0.438196,0.63432,122,143,0,0
1630,16.3,0.473196,0.66482,122,143,0,0
1640,16.4,0.435696,0.66082,122,143,0,0
1650,16.5,0.450696,0.63882,122,143,0,0
1660,16.6,0.445696,0.64932,122,143,0,0
1670,16.7,0.443696,0.63332,122,143,0,0
1680,16.8,0.451696,0.67182,122,143,0,0
1690,16.9,0.473196,0.67082,122,143,0,0
1700,17,0.455696,0.64732,122,143,0,0
1710,17.1,0.466196,0.65132,122,143,0,0
1720,17.2,0.449196,0.67432,122,143,0,0
1730,17.3,0.470196,0.64132,122,143,0,0
1740,17.4,0.466696,0.66882,122,143,0,0
1750,17.5,0.443696,0.65282,122,143,0,0
1760,17.6,0.445196,0.62532,122,143,0,0
1770,17.7,0.463196,0.64982,122,143,0,0
1780,17.8,0.460696,0.63382,122,143,0,0
1790,17.9,0.466196,0.65532,122,143,0,0
1800,18,0.464696,0.64832,122,143,0,0
1810,18.1,0.442696,0.66982,122,143,0,0
1820,18.2,0.471696,0.66132,122,143,0,0
1830,18.3,0.428696,0.63432,122,143,0,0
1840,18.4,0.456696,0.65082,122,143,0,0
1850,18.5,0.444196,0.66032,122,143,0,0
1860,18.6,0.462696,0.62932,122,143,0,0
1870,18.7,0.432196,0.67232,122,143,0,0
1880,18.8,0.452196,0.62882,122,143,0,0
1890,18.9,0.462696,0.67282,122,143,0,0
1900,19,0.426196,0.67182,122,143,0,0
1910,19.1,0.436196,0.64632,122,143,0,0
1920,19.2,0.461696,0.62532,122,143,0,0
1930,19.3,0.449196,0.66832,122,143,0,0
1940,19.4,0.465696,0.67282,122,143,0,0
1950,19.5,0.431196,0.64532,122,143,0,0
1960,19.6,0.468196,0.66182,122,143,0,0
1970,19.7,0.429696,0.63382,122,143,0,0
1980,19.8,0.444696,0.67482,122,143,0,0
1990,19.9,0.469696,0.66532,122,143,0,0
