Step,Time,L1_V,L2_V,Off1,Off2,Drift_En,Lim_En
560,5.6,0.459196,0.66982,122,143,0,0
570,5.7,0.431196,0.64982,122,143,0,0
580,5.8,0.435196,0.66532,122,143,0,0
590,5.9,0.442696,0.63782,122,143,0,0
600,6,0.435196,0.63882,122,143,0,0
610,6.1,0.433696,0.66632,122,143,0,0
620,6.2,0.450196,0.63282,122,143,0,0
630,6.3,0.468196,0.67082,122,143,0,0
640,6.4,0.431696,0.63482,122,143,0,0
650,6.5,0.434696,0.64682,122,143,0,0
660,6.6,0.457196,0.66082,122,143,0,0
670,6.7,0.436696,0.67032,122,143,0,0
680,6.8,0.473696,0.62732,122,143,0,0
690,6.9,0.460196,0.64632,122,143,0,0
700,7,0.441196,0.65232,122,143,0,0
710,7.1,0.470196,0.64332,122,143,0,0
720,7.2,0.449196,0.65232,122,143,0,0
730,7.3,0.458196,0.62782,122,143,0,0
740,7.4,0.449696,0.65432,122,143,0,0
750,7.5,0.444196,0.62582,122,143,0,0
760,7.6,0.471196,0.63632,122,143,0,0
770,7.7,0.433196,0.66232,122,143,0,0
780,7.8,0.468196,0.64282,122,143,0,0
790,7.9,0.429196,0.62582,122,143,0,0
800,8,0.436196,0.66282,122,143,0,0
810,8.1,0.438696,0.66682,122,143,0,0
820,8.2,0.460696,0.63382,122,143,0,0
830,8.3,0.474196,0.63882,122,143,0,0
840,8.4,0.457696,0.67132,122,143,0,0
850,8.5,0.445196,0.66682,122,143,0,0
860,8.6,0.468696,0.65982,122,143,0,0
870,8.7,0.453696,0.65632,122,143,0,0
880,8.8,0.445196,0.63782,122,143,0,0
890,8.9,0.474196,0.65982,122,143,0,0
900,9,0.470196,0.64282,122,143,0,0
910,9.1,0.430696,0.67332,122,143,0,0
920,9.2,0.450696,0.63382,122,143,0,0
930,9.3,0.442196,0.63032,122,143,0,0
940,9.4,0.454696,0.67432,122,143,0,0
950,9.5,0.469696,0.67232,122,143,0,0
960,9.6,0.468196,0.65132,122,143,0,0
970,9.7,0.448196,0.63882,122,143,0,0
